# --- KRAJE I KSIĘSTWA RUSKIE (DOPEŁNIACZOWE) ---
MOS;Moskwa;MOS_DOP;Moskwy
GCZ;Goitacaz;GCZ_DOP;Goitacaz
AIM;Aimoré;AIM_DOP;Aimoré
KRR;Kiriri;KRR_DOP;Kiriri
CAE;Caeté;CAE_DOP;Caeté
SUC;Sucuru;SUC_DOP;Sucuru
POT;Potiguara;POT_DOP;Potiguary
MOX;Moxo;MOX_DOP;Moxo
MPC;Mapuche;MPC_DOP;Mapuche
CUA;Charrua;CUA_DOP;Charrua
TAI;Tairona;TAI_DOP;Tairony
ZIP;Muyquyta;ZIP_DOP;Muyquyty
ZAQ;Chunsua;ZAQ_DOP;Chunsua
ZEN;Zenú;ZEN_DOP;Zenú
QBY;Quimbaya;QBY_DOP;Quimbai
GYP;Guayupe;GYP_DOP;Guayupe
CMG;Cumanagoto;CMG_DOP;Cumanagoto
PMN;Pemon;PMN_DOP;Pemon
CUC;Cuica;CUC_DOP;Cuiki
TTY;Tatuy;TTY_DOP;Tatuy
THM;Tahami;THM_DOP;Tahami
NUT;Nutabes;NUT_DOP;Nutabes
PIJ;Pijao;PIJ_DOP;Pijao
COY;Coyaima;COY_DOP;Coyaimy
TAM;Tama;TAM_DOP;Tama
CIM;Calima;CIM_DOP;Calimy
PUB;Puben;PUB_DOP;Puben
CML;Chimila;CML_DOP;Chimili

WAI;Waitaha;WAI_DOP;Waitaha
NGI;Ngā Oho;NGI_DOP;Ngā Oho
NGR;Ngāti Ranginui;NGR_DOP;Ngāti Ranginui
NPO;Ngāti Porou;NPO_DOP;Ngāti Porou
NKH;Ngāti Kahungunu;NKH_DOP;Ngāti Kahungunu
NTH;Ngāi Tūhoe;NTH_DOP;Ngāi Tūhoe
TOG;Tu’i Tonga;TOG_DOP;Tu’i Tonga
YAP;Yap;YAP_DOP;Yap
RAP;Te Rapuwai;RAP_DOP;Te Rapuwai
HWE;Hawea;HWE_DOP;Hawea
TNI;Tainui;TNI_DOP;Tainui
ARW;Te Arawa;ARW_DOP;Te Arawa
PUH;Ngāpuhi;PUH_DOP;Ngāpuhi
RGT;Rangitāne;RGT_DOP;Rangitāne
AWA;Te Āti Awa;AWA_DOP;Te Āti Awa
RUA;Ngāti Ruanui;RUA_DOP;Ngāti Ruanui
SAM;Samoa;SAM_DOP;Samoa
BUB;Burebasaga;BUB_DOP;Burebasagi
KBN;Kubuna;KBN_DOP;Kubuny
TOV;Tovata;TOV_DOP;Tovata

ANT;Arianiti;ANT_DOP;Arianiti
AQU;Akwileja;AQU_DOP;Akwilei
ARZ;Arezzo;ARZ_DOP;Arezzo
ASD;Alessandria;ASD_DOP;Alessandrii
BLS;Blois;BLS_DOP;Blois
IMO;Imola;IMO_DOP;Imoli
THP;Thopia;THP_DOP;Thopii
PAP;Rzym;PAP_DOP;Rzymu
PES;Pesaro;PES_DOP;Pesaro
PIO;Piombino;PIO_DOP;Piombino
SER;Serbia;SER_DOP;Serbii
ZTA;Zeta;ZTA_DOP;Zety
